1	15.49	12.45	0.00		SJ
2	27.18	12.45	0.00		SJ
3	23.62	12.45	0.00		SJ
4	19.05	12.45	0.00		SJ
C1	22.23	17.78	180.00	100uF	EIA7343
C2	15.62	20.83	180.00	100nF	0805
C3	22.48	24.51	0.00	100uF	EIA7343
C4	15.37	26.54	180.00	100nF	0805
TP1	30.10	34.80	0.00	TPTP14SQ	TP14SQ
TP2	28.45	34.80	0.00	TPTP14SQ	TP14SQ
TP3	26.80	34.80	0.00	TPTP14SQ	TP14SQ
