1	42.67	54.99	0.00		SJ
2	39.12	52.07	180.00		SJ
3	42.67	52.07	0.00		SJ
4	39.12	54.99	0.00		SJ
C2	50.61	20.87	180.00	100nF	0805
C4	50.41	3.35	270.00	100nF	0805
C5	48.25	3.35	270.00	100nF	0805
R1	4.61	13.25	180.00	10k	1210
TP1	4.24	24.65	270.00	TPTP14SQ	TP14SQ
TP2	4.24	22.87	270.00	TPTP14SQ	TP14SQ
TP3	4.25	21.09	270.00	TPTP14SQ	TP14SQ
